StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''LD.FRNY.BH''''''',44.835,-73.5883,-0.45598651,-0.822280184,-0.753226582,-0.771626444,-0.727554227,-0.684794726,-0.330011741,-0.210187541,-0.182247829,-0.21206188,-0.129922556,-0.13095898,-0.126081948,-0.120716586,-0.15562176,-0.121916451,-0.080620041,-0.093454668,-0.156941669,-0.183403233,-0.207614374,-0.237183256,-0.262016191,899.8309,NaN
'''''''LD.HBVT.HH''''''',44.36306,-73.06326,-0.785557511,-0.919186153,-0.880864533,-0.864009265,-0.829044818,-0.805482166,-0.953753722,-1.022637357,-0.84933039,-0.719135959,-0.577526377,-0.473469789,-0.441355653,-0.356704603,-0.296630879,-0.236807469,-0.244265903,-0.369572922,-0.385348707,-0.385778749,-0.395925342,-0.462154613,-0.516084266,900,NaN
'''''''LD.HCNY.BH''''''',42.6968,-74.3984,-0.740113294,-0.44934739,-0.545145868,-0.671679605,-0.779002119,-0.872056225,-0.809730875,-0.85272475,-0.847877535,-0.548453702,-0.318200122,-0.211098625,0.011235477,0.044601693,0.139307292,0.009899811,-0.033378621,-0.058643936,-0.101026428,-0.167269295,-0.20212106,-0.253117704,-0.291413095,900,NaN
'''''''LD.KSCT.BH''''''',41.72612,-73.48425,-0.269850969,-0.177586664,-0.202080854,-0.270239414,-0.3265853,-0.383449313,-0.370167204,-0.268176166,-0.102119606,-0.128120402,-0.175924138,-0.177763638,-0.108935557,-0.070728738,-0.06246903,-0.126007053,-0.260225824,-0.268401514,-0.306846691,-0.301391434,-0.303645144,-0.333430375,-0.3688104,900,NaN
'''''''LD.KSPA.BH''''''',41.55704,-75.76818,-0.872565776,-1.225498221,-1.07699627,-1.059675757,-1.097579709,-1.144225191,-1.077246821,-1.01730891,-0.858257332,-0.761042047,-0.649823299,-0.475828469,-0.387570627,-0.320274136,-0.185794106,-0.164189403,-0.199058166,-0.229338294,-0.237503229,-0.290160703,-0.367478213,-0.487582006,-0.533768049,832.2227,NaN
'''''''LD.MCVT.BH''''''',43.95367,-72.99175,-0.861023368,-1.25523281,-1.154222358,-1.148038749,-1.126672906,-1.116238126,-0.82778349,-0.731462403,-0.635519436,-0.634222469,-0.596298574,-0.533516746,-0.38339162,-0.332001062,-0.308234713,-0.318951274,-0.337235005,-0.399079605,-0.483880285,-0.487963131,-0.498779653,-0.551760569,-0.589729932,769.2373,NaN
'''''''LD.MMNY.HH''''''',42.7319,-77.9066,0.096409976,-0.352163644,-0.081852655,-0.131753194,-0.138002429,-0.156174559,-0.340769203,-0.352571929,-0.02558349,0.19540987,0.285326675,0.363899424,0.325111227,0.268681394,0.225804249,0.112502869,0.024089755,-0.018296227,-0.058627767,-0.06311583,-0.060698749,-0.066742005,-0.08051164,570.0986,NaN
'''''''LD.MSNJ.HH''''''',40.88411,-74.18154,-0.415079379,-0.809963599,-0.691797868,-0.641634932,-0.640981529,-0.639554385,-0.652365298,-0.597256584,-0.294443209,-0.044073889,0.026401203,0.070434217,0.205491265,0.23005417,0.31623188,0.149844017,0.141599643,0.102883599,0.214989591,0.337451249,0.247793305,0.102952789,0.05634196,900,NaN
'''''''LD.MVL.HH''''''',39.99939,-76.34889,-0.612672254,-1.037431569,-0.843985062,-0.650218343,-0.530015709,-0.440931301,-0.593038817,-0.602581979,-0.744884376,-0.805223945,-0.807820176,-0.833145573,-0.713724234,-0.621348688,-0.511111231,-0.407245996,-0.494028791,-0.478720665,-0.5290544,-0.518699502,-0.559592928,-0.628728622,-0.65491157,508.3211,NaN
'''''''LD.NCB.BH''''''',43.97347,-74.22307,-1.008010026,-0.361450838,-0.494861064,-0.653781874,-0.791621112,-0.901234874,-0.971651043,-0.929908805,-0.799107738,-0.754686704,-0.69700714,-0.540704251,-0.407684256,-0.340170038,-0.275507993,-0.325506649,-0.409823866,-0.448231756,-0.520247276,-0.565511864,-0.587573029,-0.628287753,-0.664649369,875.3962,NaN
