StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''6E.WB38.BH''''''',38.0693,-87.2098,0.155939123,0.174399488,0.174168332,0.172651529,0.172713369,0.172334956,0.168213483,0.16889034,0.160878175,0.15568075,0.154515895,0.152414506,0.146086886,0.141501103,0.129574806,0.121053858,0.114523942,0.104954985,0.104425699,0.106152488,0.107044385,0.108670543,0.112061472,275.7593,NaN
'''''''6E.WB42.BH''''''',37.8975,-86.8248,0.193418677,0.216315942,0.216029228,0.214147866,0.214224569,0.213755205,0.208643147,0.209482684,0.199544818,0.193098205,0.19165338,0.189046928,0.181198481,0.175510518,0.160717766,0.150148831,0.142049468,0.130180637,0.129524138,0.131665957,0.132772219,0.13478922,0.13899515,561.1676,NaN
'''''''6E.WB44.BH''''''',37.7986,-86.6141,0.169139727,0.189162803,0.18891208,0.187266877,0.187333951,0.186923504,0.182453139,0.183187293,0.174496881,0.168859482,0.167596019,0.165316742,0.158453475,0.153479496,0.14054361,0.131301344,0.124218656,0.113839664,0.113265573,0.115138539,0.116105937,0.117869753,0.121547732,725.632,NaN
'''''''6E.WB45.BH''''''',37.7231,-86.5226,0.17434524,0.194984555,0.194726115,0.193030278,0.193099417,0.192676338,0.188068391,0.18882514,0.179867268,0.17405637,0.172754022,0.170404598,0.163330104,0.158203043,0.144869037,0.135342327,0.12804166,0.11734324,0.11675148,0.11868209,0.119679261,0.121497361,0.125288535,519.6337,NaN
'''''''6E.WB47.BH''''''',39.0224,-88.7299,0.210268271,0.235160221,0.23484853,0.232803275,0.232886659,0.232376407,0.226819014,0.227731687,0.216928088,0.20991988,0.20834919,0.205515678,0.196983517,0.190800049,0.174718632,0.163228988,0.154424052,0.141521273,0.140807583,0.143135986,0.144338619,0.14653133,0.151103658,248.0369,NaN
'''''''6E.WB48.BH''''''',38.9902,-88.5516,0.201316542,0.22514877,0.224850349,0.222892166,0.222972001,0.222483471,0.217162672,0.218036491,0.207692831,0.200982984,0.199479162,0.196766281,0.188597359,0.182677139,0.167280355,0.156279858,0.147849774,0.135496303,0.134812997,0.137042273,0.138193707,0.140293068,0.144670739,404.3719,NaN
'''''''7F.X102.HH''''''',35.3798,-92.3115,0.186382901,0.208447257,0.208170973,0.206358047,0.20643196,0.205979669,0.201053567,0.201862566,0.192286198,0.186074086,0.184681818,0.182170178,0.174607225,0.169126167,0.154871515,0.144687034,0.136882292,0.1254452,0.124812582,0.126876491,0.127942511,0.129886142,0.133939078,373.1169,NaN
'''''''7F.X201.HH''''''',35.2926,-92.3623,0.180062989,0.201379182,0.201112266,0.199360814,0.19943222,0.198995266,0.194236199,0.195017766,0.185766116,0.179764646,0.178419587,0.175993112,0.168686606,0.1633914,0.149620098,0.139780955,0.132240858,0.121191577,0.12058041,0.122574335,0.123604209,0.125481935,0.129397442,487.6562,NaN
'''''''AE.319A.HH''''''',31.3757,-109.2809,0.193418677,0.216315942,0.216029228,0.214147866,0.214224569,0.213755205,0.208643147,0.209482684,0.199544818,0.193098205,0.19165338,0.189046928,0.181198481,0.175510518,0.160717766,0.150148831,0.142049468,0.130180637,0.129524138,0.131665957,0.132772219,0.13478922,0.13899515,318.9283,NaN
'''''''AE.DUN6.HH''''''',32.5538,-109.0901,0.169139727,0.189162803,0.18891208,0.187266877,0.187333951,0.186923504,0.182453139,0.183187293,0.174496881,0.168859482,0.167596019,0.165316742,0.158453475,0.153479496,0.14054361,0.131301344,0.124218656,0.113839664,0.113265573,0.115138539,0.116105937,0.117869753,0.121547732,276.5894,NaN
'''''''AE.HANNA.HH''''''',33.63636,-109.32029,0.17434524,0.194984555,0.194726115,0.193030278,0.193099417,0.192676338,0.188068391,0.18882514,0.179867268,0.17405637,0.172754022,0.170404598,0.163330104,0.158203043,0.144869037,0.135342327,0.12804166,0.11734324,0.11675148,0.11868209,0.119679261,0.121497361,0.125288535,437.1449,NaN
'''''''AE.X18A.HH''''''',34.5293,-109.9501,0.186382901,0.208447257,0.208170973,0.206358047,0.20643196,0.205979669,0.201053567,0.201862566,0.192286198,0.186074086,0.184681818,0.182170178,0.174607225,0.169126167,0.154871515,0.144687034,0.136882292,0.1254452,0.124812582,0.126876491,0.127942511,0.129886142,0.133939078,353.2944,NaN
'''''''AG.FCAR.HH''''''',35.89,-92.124,0.061882553,0.069208326,0.069116594,0.068514669,0.06853921,0.068389041,0.066753484,0.067022087,0.063842557,0.061780021,0.061317762,0.060483852,0.057972812,0.056153,0.051420193,0.048038758,0.04544744,0.041650115,0.041440074,0.04212533,0.042479268,0.04312459,0.044470239,535.5474,NaN
'''''''AG.HHAR.HH''''''',36.282,-93.94,0.060244539,0.0673764,0.067287097,0.066701105,0.066724996,0.066578802,0.064986538,0.065248031,0.062152662,0.060144721,0.059694698,0.058882861,0.056438288,0.054666645,0.050059115,0.046767185,0.044244459,0.040547648,0.040343167,0.041010284,0.041354854,0.041983093,0.043293124,649.7002,NaN
'''''''AG.HHAR.HN''''''',36.282,-93.94,0.201316542,0.22514877,0.224850349,0.222892166,0.222972001,0.222483471,0.217162672,0.218036491,0.207692831,0.200982984,0.199479162,0.196766281,0.188597359,0.182677139,0.167280355,0.156279858,0.147849774,0.135496303,0.134812997,0.137042273,0.138193707,0.140293068,0.144670739,649.7002,NaN
'''''''AG.LCAR.HH''''''',36.07,-91.154,0.063398269,0.070903474,0.070809496,0.070192828,0.07021797,0.070064123,0.068388506,0.068663687,0.065406279,0.063293225,0.062819644,0.061965308,0.059392765,0.057528379,0.05267965,0.049215392,0.046560604,0.042670269,0.042455084,0.043157124,0.043519731,0.044180858,0.045559467,400.2828,NaN
'''''''AG.U40A.HH''''''',36.3563,-92.8535,0.105134135,0.117580111,0.117424265,0.116401637,0.11644333,0.116188203,0.113409507,0.113865844,0.108464044,0.10495994,0.104174595,0.102757839,0.098491758,0.095400024,0.087359316,0.081614494,0.077212026,0.070760636,0.070403792,0.071567993,0.07216931,0.073265665,0.075551829,882.2731,NaN
'''''''AG.WHAR.HH''''''',35.29,-92.289,0.060930457,0.068143519,0.068053198,0.067460535,0.067484698,0.067336839,0.065726446,0.065990916,0.062860305,0.060829503,0.060374356,0.059553275,0.05708087,0.055289056,0.050629066,0.047299656,0.044748207,0.041009306,0.040802497,0.041477209,0.041825702,0.042461095,0.04378604,726.5588,NaN
'''''''AG.X40A.HH''''''',34.4873,-92.8342,0.105134135,0.117580111,0.117424265,0.116401637,0.11644333,0.116188203,0.113409507,0.113865844,0.108464044,0.10495994,0.104174595,0.102757839,0.098491758,0.095400024,0.087359316,0.081614494,0.077212026,0.070760636,0.070403792,0.071567993,0.07216931,0.073265665,0.075551829,588.1165,NaN
"'''''''Acton, ON'''''''",43.6087,-80.0624,0.159990164,0.178930099,0.178692938,0.177136732,0.177200178,0.176811934,0.172583392,0.173277832,0.165057525,0.159725079,0.158529963,0.156373983,0.149881982,0.145177069,0.132940946,0.124198637,0.117499086,0.107681542,0.107138506,0.108910155,0.109825222,0.111493625,0.114972645,966,NaN
